"ADDR-REG-CLK",2,0,0
"BRD-ADDR-REG1",2,0,1
"BRD-ADDR-REG0",2,0,2
"REG-FUNC",2,0,3
"ADDR-REG-OUT",2,0,4
"I/D-REG-DN",2,0,5
"I/D-REG-UP",2,0,6
"RESET",2,0,7
"DATA-REG-OUT-ID0",2,1,0
"DATA-REG-OUT-ID1",2,1,1
"BRD-OUT-ID0",2,1,2
"BRD-OUT-ID1",2,1,3
"DATA-REG-IN-ID0",2,1,4
"DATA-REG-IN-ID1",2,1,5
"BRD-IN-ID0",2,1,6
"BRD-IN-ID1",2,1,7
"DATA-REG-RD-LO",3,0,0
"DATA-REG-WR-LO",3,0,1
"DATA-REG-RD-HI",3,0,2
"DATA-REG-WR-HI",3,0,3
"ALU0",3,0,4
"ALU1",3,0,5
"ALU2",3,0,6
"ALU-FUNC",3,0,7
"LD-AC",3,1,0
"RD-AC",3,1,1
"AC-IN-INV",3,1,2
